throughput_kbps,startup_delay_ms,rebuffer_count,rebuffer_duration_s,bitrate_kbps,resolution_height,dropped_frames_pct,latency_ms,buffer_health_s,MOS,network_type
2191.903009656064,55.618601720247256,0,0.0,1763.6165690192151,720,0.39495965274871336,72.9391214485284,25.27638784917697,4.5770075431797865,4g
7140.046995436062,228.14150742335235,0,0.0,5472.93262951586,1440,0.6635350903921817,39.00148178027494,18.890825818728437,4.769395415695437,5g
6903.074315273639,329.5732899023541,0,0.0,5638.1378896039605,1440,0.5238197834787965,68.61642006015765,32.84988560522277,4.7447557311468636,wifi
6002.867851797628,625.7944585441783,0,0.0,4174.490908700849,1080,0.15265563529262816,53.01185575649402,24.459525027220653,4.631790823911391,5g
2066.228865840085,605.7671293446022,0,0.0,1704.3060899162244,720,0.4670786646324047,103.57827126143789,20.405474416933348,4.428100585667042,4g
4649.885846335236,404.8152412819735,0,0.0,3799.465223110476,1080,0.14025066529202707,109.36556709182962,9.90278137030517,4.611024630859691,4g
3765.9563807747527,680.77144126011,0,0.0,2952.061932819945,1080,0.34260870253551556,64.48627353324156,13.200276715979117,4.493746863677233,4g
5355.283572404739,314.5494707326932,0,0.0,4280.411096326368,1080,0.3071960380839285,69.13550475114823,16.028444353600094,4.667527996406705,wifi
3937.197334925736,306.11953195945523,0,0.0,3028.8134044493117,1080,0.5339593528089832,73.30770217945573,19.40908709294346,4.593956655427919,wifi
4376.179235175531,135.46007752911953,1,0.08024202207460852,3120.8612281542614,1080,0.7897684893358197,52.87472057877148,24.425093410802518,4.2942769010939505,wifi
4187.794619294071,568.0616274914792,0,0.0,3498.443252447084,1080,0.47132068069968336,48.11700088606411,11.323652873669273,4.538028895395046,wifi
2757.9599266767495,851.2073280663411,0,0.0,2190.0858453198325,720,0.4659990051915296,117.18375150480873,25.010667475487473,4.4041225946467994,4g
7509.984551398239,214.68481171889502,0,0.0,5449.161769722144,1440,0.5905452840443213,55.55554605802453,11.175162232984054,4.788816763458649,wifi
5021.894451969684,982.7724932014659,1,0.003443855763853303,3881.9181321249266,1080,0.15611767140690225,51.692854796406294,16.327419205641153,4.138101257987633,wifi
6534.987782670538,192.86924943483768,0,0.0,4711.970360339865,1440,0.38386523475450385,95.35859827159766,20.781647128837314,4.757485108009485,wifi
