file,content,t_start,t_end,vmaf_mean,vmaf_std,vmaf_mad,bitrate_mean,stall_ratio,tsl_end,QoE_win
AirShow_HuangBufferBasedAdaptor_Trace_0.mat,AirShow_HuangBufferBasedAdaptor,0,5,57.073764980841,3.6749958182043914,2.6785154913725133,142.56649411764707,0.0,0.0,-0.1154294097557463
AirShow_HuangBufferBasedAdaptor_Trace_0.mat,AirShow_HuangBufferBasedAdaptor,1,6,54.248493208137674,4.572908535070623,3.767990854178006,150.44865882352943,0.0,0.0,-0.2354982459636426
AirShow_HuangBufferBasedAdaptor_Trace_0.mat,AirShow_HuangBufferBasedAdaptor,2,7,53.30753563480873,3.776040986627722,5.482446933230216,237.66870588235298,0.0,0.0,-0.32887965708357025
AirShow_HuangBufferBasedAdaptor_Trace_0.mat,AirShow_HuangBufferBasedAdaptor,3,8,59.688095880489776,15.742667572750559,12.729535158117569,642.9807058823528,0.0,0.0,-0.3397954262736535
AirShow_HuangBufferBasedAdaptor_Trace_0.mat,AirShow_HuangBufferBasedAdaptor,4,9,63.25881736519263,15.62879027544943,17.606007376682925,842.1162447058821,0.0,0.0,-0.23131191233005702
AirShow_HuangBufferBasedAdaptor_Trace_0.mat,AirShow_HuangBufferBasedAdaptor,5,10,63.62005724812288,15.416009988996258,19.754677573595785,836.9853458823527,0.0,0.0,-0.0505295934951618
AirShow_HuangBufferBasedAdaptor_Trace_0.mat,AirShow_HuangBufferBasedAdaptor,6,11,68.49402016739478,13.170607028316581,21.950713256999364,899.9236061919503,0.0,0.0,0.082659096880774
AirShow_HuangBufferBasedAdaptor_Trace_0.mat,AirShow_HuangBufferBasedAdaptor,7,12,71.87161038557039,11.299485108319196,13.050671695119679,896.8046959752319,0.0,0.0,0.23721944306679324
AirShow_HuangBufferBasedAdaptor_Trace_0.mat,AirShow_HuangBufferBasedAdaptor,8,13,69.8077083703499,8.171881531966013,9.983596177039107,629.2939723426213,0.0,0.0,0.41491343119421237
AirShow_HuangBufferBasedAdaptor_Trace_0.mat,AirShow_HuangBufferBasedAdaptor,9,14,72.40821717725544,9.71134920729635,6.925785483915574,565.688614736842,0.0,0.0,0.5285319131507806
AirShow_HuangBufferBasedAdaptor_Trace_0.mat,AirShow_HuangBufferBasedAdaptor,10,15,78.89600812234809,6.275491361100854,3.9953141643095904,691.6052968421052,0.0,0.0,0.6056605715755019
AirShow_HuangBufferBasedAdaptor_Trace_0.mat,AirShow_HuangBufferBasedAdaptor,11,16,80.84049381605377,5.133617633315666,5.512098254204766,734.992954385965,0.0,0.0,0.7189520332774896
AirShow_HuangBufferBasedAdaptor_Trace_0.mat,AirShow_HuangBufferBasedAdaptor,12,17,77.30976927342402,11.820002322377968,10.162088864924774,660.2754807017544,0.0,0.0,0.8057354323265381
