NIQE,PSNR,SSIM,STRRED,TSL,Nrebuffers,score_continuous,file,content
6.076620749973978,35.07236053405327,0.9157985741677706,35.11572248415799,0.007462686567164179,0,58.84375,video_1.mat,video_1
6.165547385790486,33.862612351531396,0.9108020821419991,46.45014622933516,0.014925373134328358,0,67.53125,video_1.mat,video_1
6.348893595054657,35.315481011848185,0.9260409326405027,35.212577618553325,0.022388059701492536,0,72.75,video_1.mat,video_1
5.445108066422687,35.37204291094856,0.9314024885965152,16.596793117738986,0.029850746268656716,0,75.65625,video_1.mat,video_1
5.5096784280751985,35.38299745548667,0.9316474132877058,16.559296674491165,0.03731343283582089,0,77.125,video_1.mat,video_1
5.790737747239054,35.644790731867715,0.9328206357160537,17.74917395662591,0.04477611940298507,0,78.21875,video_1.mat,video_1
5.475547596979374,35.04627845617242,0.9280311873511392,21.750500512155874,0.05223880597014925,0,80.125,video_1.mat,video_1
5.4356101255288065,35.09130217934348,0.9290465236301266,23.650510673675164,0.05970149253731343,0,79.71875,video_1.mat,video_1
5.442936567821421,35.26032395344636,0.9296677216274983,27.949183573468655,0.06716417910447761,0,79.78125,video_1.mat,video_1
5.6863898465217915,35.84292560576225,0.935447451055025,28.37469770399107,0.07462686567164178,0,80.4375,video_1.mat,video_1
7.755024215314048,41.457134744333615,0.9621680275740554,31.898773329868146,0.08208955223880597,0,78.5625,video_1.mat,video_1
8.905848759421529,44.01725767307962,0.9748311496678617,27.839984987947446,0.08955223880597014,0,79.09375,video_1.mat,video_1
8.807930239908565,44.48464960762793,0.9757453120092525,19.26688794890369,0.09701492537313433,0,78.75,video_1.mat,video_1
8.726915796330434,44.89623987708966,0.9766908935631984,13.227568170962899,0.1044776119402985,0,78.03125,video_1.mat,video_1
8.569660396278682,45.17380516165752,0.9774166510593952,7.744718781082024,0.11194029850746269,0,77.53125,video_1.mat,video_1
8.189801831693146,45.037194264102254,0.9766413196667597,6.640159768142302,0.11940298507462686,0,77.15625,video_1.mat,video_1
7.9417044762871996,44.682372815295416,0.9751759901838233,6.43190128086975,0.12686567164179105,0,76.75,video_1.mat,video_1
7.7714017371523205,44.64823693877872,0.9752027675879072,7.029910043676987,0.13432835820895522,0,76.46875,video_1.mat,video_1
7.672886986753954,44.82684647596823,0.9760887644572489,5.9586788529281005,0.1417910447761194,0,77.46875,video_1.mat,video_1
7.657781853481908,44.72294118451543,0.9758768308834819,6.65738440730376,0.14925373134328357,0,78.125,video_1.mat,video_1
4.8451334572309275,39.027490894852875,0.9627093091605003,5.6955439150580505,0.15671641791044777,0,80.53125,video_1.mat,video_1
4.015264516210971,34.723513048259406,0.9370480288816995,6.867346636024331,0.16417910447761194,0,82.5625,video_1.mat,video_1
4.385331957601218,34.883365748858914,0.9207022718152048,4.8224923266299395,0.17164179104477612,0,82.96875,video_1.mat,video_1
4.838328743232382,34.94654883335559,0.9191911127649312,6.848855831358031,0.1791044776119403,0,82.65625,video_1.mat,video_1
4.78158309050488,35.2224105756981,0.9228069827146812,7.318018038382769,0.1865671641791045,0,82.40625,video_1.mat,video_1
4.719709651768067,35.326064807484,0.924273071503304,9.722133122086392,0.19402985074626866,0,82.34375,video_1.mat,video_1
4.5685182189773785,35.091334062049114,0.9232804559985456,13.338480077925027,0.20149253731343283,0,83.03125,video_1.mat,video_1
4.442841368845279,34.99383661908478,0.9236593200033612,12.464784833293237,0.208955223880597,0,83.34375,video_1.mat,video_1
4.066031315638663,34.74655476951808,0.925685656822585,12.465102598387572,0.21641791044776118,0,83.40625,video_1.mat,video_1
4.076020734666365,34.66261855362816,0.9249800058563248,11.762479550246836,0.22388059701492538,0,83.71875,video_1.mat,video_1
4.050347662494827,34.73312049503066,0.9262872800156481,11.49253797437575,0.23134328358208955,0,84.375,video_1.mat,video_1
4.055088232720014,34.78557921382403,0.9267945687230879,12.317113566788326,0.23880597014925373,0,85.09375,video_1.mat,video_1
4.0759234995364215,34.78197747775663,0.9260841566092434,11.50760156023914,0.2462686567164179,0,85.46875,video_1.mat,video_1
4.118074360726874,34.94024222973511,0.9275879513845774,11.25161273241507,0.2537313432835821,0,85.46875,video_1.mat,video_1
4.144727831154415,34.98158333471353,0.927284481751252,11.526695710018387,0.0,1,83.625,video_1.mat,video_1
6.4155806940788915,30.491388746692582,0.7944041373836901,42.05960374642974,0.0,1,74.59375,video_1.mat,video_1
